 2972.91  5377.41  7118.79        0        0        0        0        0        0        0        0        0        0        0        0
 5377.41  23880.8  27959.6        0        0        0        0        0        0        0        0        0        0        0        0
 7118.79  27959.6  37234.9        0        0        0        0        0        0        0        0        0        0        0        0
       0        0        0  31425.6 -23059.7  2607.57        0        0        0        0        0        0        0        0        0
       0        0        0 -23059.7  17503.9 -1316.09        0        0        0        0        0        0        0        0        0
       0        0        0  2607.57 -1316.09  1374.62        0        0        0        0        0        0        0        0        0
       0        0        0        0        0        0  39220.2  19061.5  9230.53        0        0        0        0        0        0
       0        0        0        0        0        0  19061.5  11058.6  4472.03        0        0        0        0        0        0
       0        0        0        0        0        0  9230.53  4472.03  3771.81        0        0        0        0        0        0
       0        0        0        0        0        0        0        0        0    16294   8607.9 -9203.13        0        0        0
       0        0        0        0        0        0        0        0        0   8607.9  7830.32 -4558.89        0        0        0
       0        0        0        0        0        0        0        0        0 -9203.13 -4558.89  7455.68        0        0        0
       0        0        0        0        0        0        0        0        0        0        0        0  9701.57  9686.02  7363.58
       0        0        0        0        0        0        0        0        0        0        0        0  9686.02  11054.1  8437.22
       0        0        0        0        0        0        0        0        0        0        0        0  7363.58  8437.22  9271.41
